class,party,source_url,local_filename,http_status,bytes,sha256
1,Brigham Young University,https://www.copyright.gov/1201/2021/comments/Class 01_InitialComments_Brigham Young University.pdf,Class01_Brigham-Young-University.pdf,200,429980,fb6729097aeb34fbda38de7bd855cc78505c9a0a436fc7159d771b1d5e743f82
1,Free Software Foundation,https://www.copyright.gov/1201/2021/comments/Class 01_InitialComments_Free Software Foundation.pdf,Class01_Free-Software-Foundation.pdf,200,84937,25875bcf48d7308af049c57f744a076760a9210c68ef29c4300e8c516fe80f21
1,Organization for Transformative Works,https://www.copyright.gov/1201/2021/comments/Class 01_InitialComments_Organization for Transformative Works.pdf,Class01_Organization-for-Transformative-Works.pdf,200,152667,b34b3d70ca1adba397d4a46a21796337d75027cfc43d2ae7ad3f46456371ed4b
1,"Peter Decherney, Professor Katherine Sender, John L. Jackson, Rebecca Stein, PhD, the International Communication Association, Society for Cinema and Media Studies, Consoleing Passions, the Library Copyright Alliance, Shiv Gaglani, Stefan Wisbauer, Lecturio; Andrew Berg, Saud Siddiqui, Ken Robertson, and Ruthe Farmer (“Joint Educators"")",https://www.copyright.gov/1201/2021/comments/Class 01_InitialComments_Joint Educators.pdf,Class01_Joint-Educators.pdf,200,942039,33dcbf56133be5923a3fb9ccb8fa30053757bbea04fd2c17c7305370184bd35f
2,Free Software Foundation,https://www.copyright.gov/1201/2021/comments/Class 02_InitialComments_Free Software Foundation.pdf,Class02_Free-Software-Foundation.pdf,200,84722,7673238e8971b39a77e9443ea7cbf3332621dc7585f49febd023dbb6719b158b
3,"Association of Transcribers and Speech-to-Text Providers, Association on Higher Education and Disability, and Library Copyright Alliance (""Accessibility Petitioners"")","https://www.copyright.gov/1201/2021/comments/Class 03_InitialComments_Association of Transcribers and Speech-to-Text Providers, Association on Higher Education and Disability, and Library Copyright Alliance.pdf",Class03_Accessibility-Petitioners.pdf,200,483698,c662ba98b97292a1b144a5943bbefaaceb087d029b2effa775eb84d5a90ae8e6
3,Free Software Foundation,https://www.copyright.gov/1201/2021/comments/Class 03_InitialComments_Free Software Foundation.pdf,Class03_Free-Software-Foundation.pdf,200,84822,f9779f54f93547568b9dbab34b090203ab904d8b64270054fc42f46ed18eaf99
4,Free Software Foundation,https://www.copyright.gov/1201/2021/comments/Class 04_InitialComments_Free Software Foundation.pdf,Class04_Free-Software-Foundation.pdf,200,85156,c47666414613120aba66159d796c849d4fe1c65b84cfc17445ec82042a1d2753
5,Alisha Cunzio,https://www.copyright.gov/1201/2021/comments/Class 05 Alisha Cunzio.pdf,Class05_Alisha-Cunzio.pdf,200,114448,edc4d503a36b2170fce0260be4ccb1a4016fb62ba7857a878fd3900495356722
5,Free Software Foundation,https://www.copyright.gov/1201/2021/comments/Class 05_InitialComments_Free Software Foundation.pdf,Class05_Free-Software-Foundation.pdf,200,84753,4f9038c49ac7a1d5cae85e885d55032b8db03dc2e07968ee699176047e785082
5,Library Copyright Alliance,https://www.copyright.gov/1201/2021/comments/Class 05_InitialComments_Library Copyright Alliance.pdf,Class05_Library-Copyright-Alliance.pdf,200,295262,4af5805e00712c453733e3b4872b6ab573e65af4a5f177732dd16162486a5bb7
6,Free Software Foundation,https://www.copyright.gov/1201/2021/comments/Class 06_InitialComments_Free Software Foundation.pdf,Class06_Free-Software-Foundation.pdf,200,84791,605effc57b3f6855319449cfe8c8b52f740d185814c486eb71063bddba8cd58c
7,"Authors Alliance, American Association of University Professors, and Library Copyright Alliance","https://www.copyright.gov/1201/2021/comments/Class 07a and 07b_InitialComments_Authors Alliance, American Association of University Professors, and Library Copyright Alliance.pdf",Class07_Authors-Alliance-American-Association-of-University-Professors-and-Library-Copyright-Alliance.pdf,200,3245594,7b8721013b65213c0a10ff77f92cce55a6cb518fd27ce8fc1653ed505c3c10e5
