class,party,source_url,local_filename,http_status,bytes,sha256
General Comments,Digital Age Defense project,https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_ShortForm_Gellis_DigitalAgeDefense.pdf,General_Digital-Age-Defense-project.pdf,200,35463,4d911382b98f998c940209eb4508c97d42bc15c1b9f96ccf33c427b1a76443ec
General Comments,New America’s Open Technology Institute,https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_LongForm_NAOTI.pdf,General_New-Americas-Open-Technology-Institute.pdf,200,127081,43c56f43e8d3217208ee6086d93a1b460eddaae49e946280adc273c9a24f8bb2
General Comments,Owners’ Rights Initiative,https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_LongForm_ORI.pdf,General_Owners-Rights-Initiative.pdf,200,57139,1676c4ef80d9debd35a7f3c26b5e27c46afd8f3e478d705759e1f1164e249706
General Comments,Public Knowledge,https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_LongForm_PublicKnowledge.pdf,General_Public-Knowledge.pdf,200,158845,5e861f8df65eb1a5402ca25d426781640f3bdfcda0a07a70e64c08a59fd01279
Proposed Class 1: Audiovisual works – educational uses – colleges and universities,Joint Educators,https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_LongForm_DecherneyEtAl_Class01.pdf,Class01_Joint-Educators.pdf,200,243871,1f43aae687fa43363be1387eea63ce904860e7efa3fbee898e1e4087bd43492d
Proposed Class 1: Audiovisual works – educational uses – colleges and universities,Combined comments (1501) received through Digital Right to Repair website,https://cdn.loc.gov/copyright/1201/2015/comments-020615/EFF_merged_shortform_comments_class01.pdf,Class01_Combined-comments-1501-received-through-Digital-Right-to-Repair-website.pdf,200,2470933,4c33497100fe5f602a585080489a7d6bb57884b76b2fe6d01a46577e3c084f52
Proposed Class 1: Audiovisual works – educational uses – colleges and universities,Music Library Association,https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_ShortForm_MLA_Class01.pdf,Class01_Music-Library-Association.pdf,200,31731,d9302731bac8cbad98f704571842197517c344a08be507e722a72cc9c27a168d
Proposed Class 1: Audiovisual works – educational uses – colleges and universities,"Sheff, Jeremy N.",https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_ShortForm_Sheff_Class01.pdf,Class01_Sheff-Jeremy-N.pdf,200,15336,debd63ad20e49954d15d7f2b7f24d9b81077c5dfac92d0bb35f5a638c9c02cb0
Proposed Class 1: Audiovisual works – educational uses – colleges and universities,Free Software Foundation,https://cdn.loc.gov/copyright/1201/2015/comments-020615/FreeSoftwareFoundation/InitialComments_ShortForm_FreeSoftwareFoundation_Class1.pdf,Class01_Free-Software-Foundation.pdf,200,63905,bc3a22c7f9ac982aff9a9c3986a3e20a8776d7a4fa310b0584735f2f266691b2
Proposed Class 2: Audiovisual works – educational uses – primary and secondary schools (K-12),"Hobbs, Renee",https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_LongForm_Hobbs_Class02.pdf,Class02_Hobbs-Renee.pdf,200,156923,38ba0b17ba40ff3b6646f1a4a3ceb8c1a447cf69593b9dee3f843cdb942c97c8
Proposed Class 2: Audiovisual works – educational uses – primary and secondary schools (K-12),Music Library Association,https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_ShortForm_MLA_Class02.pdf,Class02_Music-Library-Association.pdf,200,31700,b97f8cc16d4e4bd79b2f4d965fe323f60c6390c52f9d9aea34f8d1a29e078edb
Proposed Class 2: Audiovisual works – educational uses – primary and secondary schools (K-12),Free Software Foundation,https://cdn.loc.gov/copyright/1201/2015/comments-020615/FreeSoftwareFoundation/InitialComments_ShortForm_FreeSoftwareFoundation_Class2.pdf,Class02_Free-Software-Foundation.pdf,200,64145,e762ce08db9dfd91a04fc68b91f03c85b4ead56c7237bf5779adee59f5a19b51
Proposed Class 3: Audiovisual works – educational uses – massive open online courses (“MOOCs”),Joint Educators,https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_LongForm_DecherneyEtAl_Class03.pdf,Class03_Joint-Educators.pdf,200,232074,47f50aaf20662dd9474500c1884d6ea77c2ce12edc37439ed7bf62b98165e4ee
Proposed Class 3: Audiovisual works – educational uses – massive open online courses (“MOOCs”),Music Library Association,https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_ShortForm_MLA_Class03.pdf,Class03_Music-Library-Association.pdf,200,31726,06d313d6300c3f511fef432565320c7f99c6c61939b81de8cc414de8940d434a
Proposed Class 3: Audiovisual works – educational uses – massive open online courses (“MOOCs”),Free Software Foundation,https://cdn.loc.gov/copyright/1201/2015/comments-020615/FreeSoftwareFoundation/InitialComments_ShortForm_FreeSoftwareFoundation_Class3.pdf,Class03_Free-Software-Foundation.pdf,200,63942,92d5736c1db0f0ce4172140b844de96941fd132a5d3ec031830907e536437e22
"Proposed Class 4: Audiovisual works – educational uses – educational programs operated by museums, libraries, or nonprofits","Hobbs, Renee",https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_ShortForm_HobbsEtAl_Class04.pdf,Class04_Hobbs-Renee.pdf,200,123476,010e49a88c027b39f9ed3027f9ed25767f21d0a4c65fde58658e9a2e2d6db8fe
"Proposed Class 4: Audiovisual works – educational uses – educational programs operated by museums, libraries, or nonprofits",Music Library Association,https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_ShortForm_MLA_Class04.pdf,Class04_Music-Library-Association.pdf,200,31857,9f0be75ffb3a1c06019ec92ed9d98fc36afa515b3ff99da89d917db770886f5e
"Proposed Class 4: Audiovisual works – educational uses – educational programs operated by museums, libraries, or nonprofits",Free Software Foundation,https://cdn.loc.gov/copyright/1201/2015/comments-020615/FreeSoftwareFoundation/InitialComments_ShortForm_FreeSoftwareFoundation_Class4.pdf,Class04_Free-Software-Foundation.pdf,200,63854,8a829a910e86b35f9cef62b6a97adcde83d8692c27cf069cbff10473aa4d5f78
Proposed Class 5: Audiovisual works – derivative uses – multimedia e-books,"Author’s Alliance, et al.",https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_LongForm_AuthorsAllianceEtAl_Class05.pdf,Class05_Authors-Alliance-et-al.pdf,200,553048,82029631e1cd525c42ed14cdf0a9ebaac1ee15100b84286ab3fcfee436213e1f
Proposed Class 5: Audiovisual works – derivative uses – multimedia e-books,Music Library Association,https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_ShortForm_MLA_Class05.pdf,Class05_Music-Library-Association.pdf,200,31814,abf4689c035168174e1dea4b31d8b0db01ca302789f5d6aaa30d0008435083cd
Proposed Class 5: Audiovisual works – derivative uses – multimedia e-books,Combined comments (1408) received through Digital Right to Repair website,https://cdn.loc.gov/copyright/1201/2015/comments-020615/EFF_merged_shortform_comments_class05.pdf,Class05_Combined-comments-1408-received-through-Digital-Right-to-Repair-website.pdf,200,2847674,27d2c484ca685036fd52ed053f6ebafc2442b49dd801c593fa479ca024202bc0
Proposed Class 5: Audiovisual works – derivative uses – multimedia e-books,Free Software Foundation,https://cdn.loc.gov/copyright/1201/2015/comments-020615/FreeSoftwareFoundation/InitialComments_ShortForm_FreeSoftwareFoundation_Class5.pdf,Class05_Free-Software-Foundation.pdf,200,62976,36aa53816cf253bcd18bf2608749eedc202f5f554ee6054860f0a0a932016cec
Proposed Class 6: Audiovisual works – derivative uses – filmmaking uses,Joint Filmakers,https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_LongForm_IDA_Class06.pdf,Class06_Joint-Filmakers.pdf,200,1786766,dfc8391cacb91799c637a541840a0ed085522c86151a43df06c1655d299f221e
Proposed Class 6: Audiovisual works – derivative uses – filmmaking uses,New Media Rights,https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_LongForm_NewMediaRights_Class06.pdf,Class06_New-Media-Rights.pdf,200,270830,dc13a8b95759d73b9337b4f69297a5a13252bdbd32766d9073bcbd239e4f9487
Proposed Class 6: Audiovisual works – derivative uses – filmmaking uses,Combined comments (1565) received through Digital Right to Repair website,https://cdn.loc.gov/copyright/1201/2015/comments-020615/EFF_merged_shortform_comments_class06.pdf,Class06_Combined-comments-1565-received-through-Digital-Right-to-Repair-website.pdf,200,2969709,e967f793c9900b874210c7560807b54da479696c8c6599a57a36c200122f90b2
Proposed Class 6: Audiovisual works – derivative uses – filmmaking uses,Free Software Foundation,https://cdn.loc.gov/copyright/1201/2015/comments-020615/FreeSoftwareFoundation/InitialComments_ShortForm_FreeSoftwareFoundation_Class6.pdf,Class06_Free-Software-Foundation.pdf,200,62995,13b7c7a2fbe58ce50392b8b955bf69022bac0c2f96cd4577409ba88678f4d871
Proposed Class 7: Audiovisual works – derivative uses – noncommercial remix videos,Electronic Frontier Foundation and Organization for Transformative Works,https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_LongForm_EFFOTW_Class07.pdf,Class07_Electronic-Frontier-Foundation-and-Organization-for-Transformative-Works.pdf,200,3718234,fa4b6e8ee91abd962f1d3b0eaf7066b150aadec31d5b95aca0993887e1bbfa41
Proposed Class 7: Audiovisual works – derivative uses – noncommercial remix videos,Music Library Association,https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_ShortForm_MLA_Class07.pdf,Class07_Music-Library-Association.pdf,200,31686,19bd82d616add5366825f7afb5f492d84ecc9b887387818891e49557fd85f94e
Proposed Class 7: Audiovisual works – derivative uses – noncommercial remix videos,National Congress of American Indians,https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_ShortForm_NCAI_Class07.pdf,Class07_National-Congress-of-American-Indians.pdf,200,12016,664e51e5330717cebd7b8ad190cb870361c691bc7d0192a0fbab61dc13fe3913
Proposed Class 7: Audiovisual works – derivative uses – noncommercial remix videos,New Media Rights,https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_LongForm_NewMediaRights_Class07.pdf,Class07_New-Media-Rights.pdf,200,270830,dc13a8b95759d73b9337b4f69297a5a13252bdbd32766d9073bcbd239e4f9487
Proposed Class 7: Audiovisual works – derivative uses – noncommercial remix videos,USC Norman Lear Center,https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_ShortForm_NormanLearCtr_Class07.pdf,Class07_USC-Norman-Lear-Center.pdf,200,16817,ef06edd3aadd0783a27f93110fc716b26d9cc9a12886ccee7d2b4e58a3b88e53
Proposed Class 7: Audiovisual works – derivative uses – noncommercial remix videos,Combined comments (1574) received through Digital Right to Repair website,https://cdn.loc.gov/copyright/1201/2015/comments-020615/EFF_merged_shortform_comments_class07.pdf,Class07_Combined-comments-1574-received-through-Digital-Right-to-Repair-website.pdf,200,2966451,05cccc8c9c0deed38fccac2ab76d892ff77dd90a470eee11c316af9d2d1274df
Proposed Class 7: Audiovisual works – derivative uses – noncommercial remix videos,Free Software Foundation,https://cdn.loc.gov/copyright/1201/2015/comments-020615/FreeSoftwareFoundation/InitialComments_ShortForm_FreeSoftwareFoundation_Class7.pdf,Class07_Free-Software-Foundation.pdf,200,63306,158e7bdce08f78100108efe044440953b69f3cb337a89216d601caef90bd6a50
Proposed Class 8: Audiovisual works – space-shifting and format-shifting,Music Library Association,https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_ShortForm_MLA_Class08.pdf,Class08_Music-Library-Association.pdf,200,31753,83d9f56549be046b33142b4d5393ca4d58dd8ccb0c44b9d63e1eb3fca4a0abc1
Proposed Class 8: Audiovisual works – space-shifting and format-shifting,Public Knowledge,https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_LongForm_PublicKnowledge_Class08.pdf,Class08_Public-Knowledge.pdf,200,234282,a3f84f61968a59f16bc73768dbffb836b78cb1ad6bcc4498d8352fc3e6318f49
Proposed Class 8: Audiovisual works – space-shifting and format-shifting,Free Software Foundation,https://cdn.loc.gov/copyright/1201/2015/comments-020615/FreeSoftwareFoundation/InitialComments_ShortForm_FreeSoftwareFoundation_Class8.pdf,Class08_Free-Software-Foundation.pdf,200,62468,0ad00c717845005ece9a7cd351220083595346aef46b996ed90888f1f18496e8
Proposed Class 9: Literary works distributed electronically – assistive technologies,Association of American Publishers,https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_ShortForm_AAP_Class09.pdf,Class09_Association-of-American-Publishers.pdf,200,77530,706bcfb7c617ef5c84c0abd1d13c83ddde35f4d3a0175115cef44ec571760bd2
Proposed Class 9: Literary works distributed electronically – assistive technologies,American Foundation for the Blind et al,https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_LongForm_AFBetal_Class09.pdf,Class09_American-Foundation-for-the-Blind-et-al.pdf,200,1795607,1ae918ac77e7af711a396238143f7cb0ee603b9cd914783f83ebe727a1ac7bbf
Proposed Class 9: Literary works distributed electronically – assistive technologies,iFixit,https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_LongForm_iFixit_Class09.pdf,Class09_iFixit.pdf,200,81853,d382d0c14a95e05e21f4be502c2df83e29aaf09f9b076b10d92b3e6a86d5c145
Proposed Class 9: Literary works distributed electronically – assistive technologies,Music Library Association,https://cdn.loc.gov/copyright/1201/2015/comments-020615/InitialComments_ShortForm_MLA_Class09.pdf,Class09_Music-Library-Association.pdf,200,31571,14d812483ad5ad0dc6428e176c0f0fd1c9bb6352c5c1e4064cc8615ff1885cc1
Proposed Class 9: Literary works distributed electronically – assistive technologies,Combined comments (1292) received through Digital Right to Repair website,https://cdn.loc.gov/copyright/1201/2015/comments-020615/EFF_merged_shortform_comments_class09.pdf,Class09_Combined-comments-1292-received-through-Digital-Right-to-Repair-website.pdf,200,2095755,8558eab0c8c473c36665478a93c5cd907d3619866ca5c07c70ac17ba5c6761f5
