class,party,source_url,local_filename,http_status,bytes,sha256
Class02,Joint Educators,https://www.copyright.gov/1201/2024/comments/Class%202%20-%20Initial%20Comments%20-%20Joint%20Educators.pdf,Class02_Joint-Educators.pdf,200,414439,37ea1bd7827527aa9b9a82a25d94b9833be97d850b5fc9e216027d3f26422704
Class03a-and-3b,"Authors Alliance, American Association of University Professors, Library Copyright Alliance",https://www.copyright.gov/1201/2024/comments/Class%203a-and-3b-Initial-Comments-Authors-Alliance-Library-Copyright-Alliance-and-Am-A.pdf,Class03a-and-3b_Authors-Alliance-American-Association-of-University-Professors-Library-Copyright-Alliance.pdf,200,4529478,50df1bc4755266fa894299f75911a8fa1e3f92e4409cf233a9e0e6ebdb7c09a5
Class04,HackerOne,https://www.copyright.gov/1201/2024/comments/Class%204%20-%20Initial%20Comments%20-%20HackerOne%2C%20Inc.pdf,Class04_HackerOne.pdf,200,131907,0a1fccc8f46e9686d232b910bf85981eedb169dbc0e949f1c56f7bd224d5ed4d
Class04,Hacking Policy Council,https://www.copyright.gov/1201/2024/comments/Class%204%20-%20Initial%20Comments%20-%20Hacking%20Policy%20Council.pdf,Class04_Hacking-Policy-Council.pdf,200,355361,0ff048dd92aed4ed585d4edfd853cf6436648559956c5060655aa3a599593925
Class04,OpenPolicy,https://www.copyright.gov/1201/2024/comments/Class%204%20-%20Initial%20Comments%20-%20OpenPolicy.pdf,Class04_OpenPolicy.pdf,200,263182,da245742a9fb368ffc1d85614a7d21050592cedf1f67f32f2cd843a9081e941d
Class05,Public Knowledge,https://www.copyright.gov/1201/2024/comments/Class%205%20-%20Initial%20Comments%20-%20Public%20Knowledge.pdf,Class05_Public-Knowledge.pdf,200,426132,73cfa7a2565ec865e60e03a59a18c1aee5cca98e9c7c60c27dac3f25dd4d1385
Class06a,Software Preservation Network and Library Copyright Alliance,https://www.copyright.gov/1201/2024/comments/Class%206%28a%29%20-%20Initial%20Comments%20-%20%20Software%20Preservation%20Network%20and%20Library%20Copyright%20Alliance.pdf,Class06a_Software-Preservation-Network-and-Library-Copyright-Alliance.pdf,200,752157,013f90f6fe9bdd227d268eb884cb217113dcbd6768beb3d75146af538df22193
Class06b,Anonymous,https://www.copyright.gov/1201/2024/comments/Class%206%28b%29%20-%20Initial%20Comments%20-%20Anonymous.pdf,Class06b_Anonymous.pdf,200,121601,bec68dca21f7280ed57af244287d86d28a599eadf023515f07231bcb9193be48
Class06b,Anonymous 2,https://www.copyright.gov/1201/2024/comments/Class%206%28b%29%20-%20Initial%20Comments%20-%20Anonymous%202.pdf,Class06b_Anonymous-2.pdf,200,124650,47a43ad222b2cbba36731fcc579523a6be59a133be6b04eb7530185031947955
Class06b,Software Preservation Network and Library Copyright Alliance,https://www.copyright.gov/1201/2024/comments/Class%206%28b%29%20-%20Initial%20Comments%20-%20%20Software%20Preservation%20Network%20and%20Library%20Copyright%20Alliance.pdf,Class06b_Software-Preservation-Network-and-Library-Copyright-Alliance.pdf,200,751301,c98eac3b0553bad9d783c986bc0748a1f27dbf839f137e77d60c3837589fa1a0
Class06b,Tripp Ceyssens,https://www.copyright.gov/1201/2024/comments/Class%206%28b%29%20-%20Initial%20Comments%20-%20Tripp%20Ceyssens.pdf,Class06b_Tripp-Ceyssens.pdf,200,121686,d64878f4300d162a0f5366798006cbdec2b56657da5c9a15412767547456fdf8
Class07,MEMA,https://www.copyright.gov/1201/2024/comments/Class%207%20-%20Initial%20Comments%20-%20MEMA.pdf,Class07_MEMA.pdf,200,4802294,1d951935538ca94efe96b7610fca13c8918b4e5fb693e828b044ebf7e01b4bae
Class07,Specialty Equipment Market Association,https://www.copyright.gov/1201/2024/comments/Class%207%20-%20Initial%20Comments%20-%20SEMA.pdf,Class07_Specialty-Equipment-Market-Association.pdf,200,198022,16da2cf2c962df34c1078b42b496fd5fc1b3595e86c835e123d75f1434494a28
